,Date,Article,Page_url,Source
28,2020-04-05 23:55:57+00:00,"Couples in Quarantine: Stress, Anxiety, Fear of the Unknown",https://www.usnews.com/news/us/articles/2020-03-27/couples-in-quarantine-stress-anxiety-fear-of-the-unknown,http://www.usnews.com/
29,2020-04-05 23:55:57+00:00,General Motors and Ventec are gearing up to make critically needed ventilators in Indiana to fight the coronavirus pandemic,https://www.businessinsider.com/gm-ventec-make-ventilators-in-indiana-fight-coronavirus-2020-3?utm_source=feedburner&amp%3Butm_medium=referral&utm_medium=feed&utm_campaign=Feed%3A+businessinsider+%28Business+Insider%29,http://www.businessinsider.com/
30,2020-04-05 23:55:54+00:00,"26-year-old tests positive, cops say he is Tablighi attendee | Ludhiana News - Times of India",https://timesofindia.indiatimes.com/city/ludhiana/26-year-old-tests-positive-cops-say-he-is-tablighi-attendee/articleshow/74999337.cms,http://timesofindia.indiatimes.com/
31,2020-04-05 23:55:54+00:00,69-yr-old Shimlapuri woman is second casualty from city | Ludhiana News - Times of India,https://timesofindia.indiatimes.com/city/ludhiana/69-yr-old-shimlapuri-woman-is-second-casualty-from-city/articleshow/74999285.cms,http://timesofindia.indiatimes.com/
32,2020-04-05 23:55:53+00:00,Gilead To Donate 1.5M Doses Of Experimental Coronavirus Treatment: 'The Right Thing To Do',https://finance.yahoo.com/news/gilead-donate-1-5m-doses-200307154.html,https://finance.yahoo.com/
33,2020-04-05 23:55:52+00:00,Latest coronavirus cases in Tasmania linked to North West Regional Hospital,http://www.abc.net.au/news/2020-04-06/coronavirus-cases-link-to-tasmania-north-west-regional-hospital/12124336,http://www.abc.net.au/
34,2020-04-05 23:55:51+00:00,Celebrity livestreams you can watch while social distancing during the coronavirus pandemic,https://www.foxnews.com/entertainment/celebrity-livestreams-watch-social-distancing-coronavirus?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fentertainment+%28Internal+-+Entertainment+-+Mixed%29,http://www.foxnews.com/
35,2020-04-05 23:55:50+00:00,Sherpur colony residents ‘attack’ health dept team | Ludhiana News - Times of India,https://timesofindia.indiatimes.com/city/ludhiana/sherpur-colony-residents-attack-health-dept-team/articleshow/74999300.cms,http://timesofindia.indiatimes.com/
36,2020-04-05 23:55:47+00:00,Australia's coronavirus death toll hits 37 as numbers in NSW continue to rise,http://www.abc.net.au/news/2020-04-06/coronavirus-death-toll-in-australia-rises-after-two-more-in-nsw/12123254,http://www.abc.net.au/
37,2020-04-05 23:55:47+00:00,State will use SC breather on border row to formulate effective response: MP | Mangaluru News - Times of India,https://timesofindia.indiatimes.com/city/mangaluru/state-will-use-sc-breather-on-border-row-to-formulate-effective-response-mp/articleshow/74999083.cms,http://timesofindia.indiatimes.com/
38,2020-04-05 23:55:47+00:00,Stock market news live updates: Stock futures rise as investors monitor coronavirus case counts,https://finance.yahoo.com/news/stock-market-news-live-updates-april-6-221730148.html,https://finance.yahoo.com/
39,2020-04-05 23:55:46+00:00,Seized vehicles will be released after payment of fine: Police | Mangaluru News - Times of India,https://timesofindia.indiatimes.com/city/mangaluru/seized-vehicles-will-be-released-after-payment-of-fine-police/articleshow/74998957.cms,http://timesofindia.indiatimes.com/
40,2020-04-05 23:55:45+00:00,"No cases in Gurgaon in past five days, but testing curve slopes too | Gurgaon News - Times of India",https://timesofindia.indiatimes.com/city/gurgaon/no-cases-in-gurgaon-in-past-five-days-but-testing-curve-slopes-too/articleshow/74879943.cms,http://timesofindia.indiatimes.com/
41,2020-04-05 23:55:43+00:00,"Pimpri Chinchwad: 3 COVID-19 patients test negative,to go home",https://www.business-standard.com/article/pti-stories/pimpri-chinchwad-3-covid-19-patients-test-negative-to-go-home-120032700249_1.html,http://www.business-standard.com/
42,2020-04-05 23:55:42+00:00,"IMF chief Georgieva says the world is in a recession, containment will dictate strength of recovery",https://www.cnbc.com/2020/03/27/imf-chief-georgieva-says-the-world-is-in-a-recession-containment-will-dictate-strength-of-recovery.html,http://www.msnbc.com/
43,2020-04-05 23:55:41+00:00,Australian doctors design and make medical equipment needed to fight coronavirus,http://www.abc.net.au/news/2020-04-06/doctors-designing-medical-equipment-to-face-coronavirus-covid-19/12120588,http://www.abc.net.au/
44,2020-04-05 23:55:39+00:00,Oil Retreats as Meeting Delay Raises Doubts for Price War Truce,https://finance.yahoo.com/news/oil-retreats-doubts-surface-potential-221100280.html,https://finance.yahoo.com/
45,2020-04-05 23:55:23+00:00,"Fauci, Navarro got into heated argument over unproven COVID-19 treatment: report",https://thehill.com/homenews/administration/491275-fauci-navarro-got-into-heated-argument-over-unproven-covid-19,http://thehill.com/
46,2020-04-05 23:54:09+00:00,"Surrey should delay its police transition due to outbreak, city councillor says",https://bc.ctvnews.ca/surrey-should-delay-its-police-transition-due-to-outbreak-city-councillor-says-1.4883646,http://www.ctvnews.ca/#
47,2020-04-05 23:54:05+00:00,Startups demand liquidity lifeline to stay afloat - ETtech,https://tech.economictimes.indiatimes.com/news/startups/startups-demand-liquidity-lifeline-to-stay-afloat/75000098?utm_source=RSS&utm_medium=ETRSS,https://tech.economictimes.indiatimes.com/
48,2020-04-05 23:54:05+00:00,Year 12 could be extended into next year in the wake of coronavirus,https://www.news.com.au/lifestyle/parenting/school-life/coronavirus-australia-how-students-will-complete-year-12-with-schools-closed/news-story/398032488b13ae485c72ed6e1a9d3fb5,http://www.news.com.au/
49,2020-04-05 23:54:04+00:00,Cities take to drones to keep services up - ETtech,https://tech.economictimes.indiatimes.com/news/technology/cities-take-to-drones-to-keep-services-up/74999943?utm_source=RSS&utm_medium=ETRSS,https://tech.economictimes.indiatimes.com/
50,2020-04-05 23:53:44+00:00,British Prime Minister Boris Johnson Hospitalized From Coronavirus,https://www.hotnewhiphop.com/british-prime-minister-boris-johnson-hospitalized-from-coronavirus-news.107913.html,http://www.hotnewhiphop.com/
51,2020-04-05 23:53:34+00:00,Why John Dickerson wrote about acknowledging each other’s grief as the coronavirus takes its toll,https://www.cbsnews.com/video/why-john-dickerson-wrote-about-acknowledging-each-others-grief-as-the-coronavirus-takes-its-toll/,http://www.cbsnews.com/
52,2020-04-05 23:53:19+00:00,Boris Johnson hospitalised for tests after persistent coronavirus symptoms,http://feeds.reuters.com/~r/reuters/topNews/~3/tnNIM5LAOC0/boris-johnson-hospitalised-for-tests-after-persistent-coronavirus-symptoms-idUSKBN21N0VI,http://reuters.com/
53,2020-04-05 23:53:07+00:00,"Apple Sources Over 20M Masks, Ships Face Shields To South Bay Healthcare Workers",https://sanfrancisco.cbslocal.com/2020/04/05/coronavirus-apple-sources-over-20-million-masks-ships-face-shields-south-bay-healthcare-workers/,http://cbslocal.com/
54,2020-04-05 23:53:05+00:00,"Coronavirus live updates: With 13 deaths, India reports highest one-day casualties",https://timesofindia.indiatimes.com/india/coronavirus-india-live-news-updates-total-number-of-covid-cases-in-india-count-state-wise-death-toll/liveblog/75000767.cms,https://timesofindia.indiatimes.com/
55,2020-04-05 23:52:54+00:00,"Trump hits back at Illinois Gov. Pritzker for ""complaining all the time"" during coronavirus briefing: ""He hasn't performed well""",https://www.newsweek.com/trump-hits-back-illinois-gov-pritzker-complaining-all-time-during-coronavirus-briefing-he-1496228?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,http://www.newsweek.com/
56,2020-04-05 23:52:32+00:00,Coronavirus: Northland man who breached lockdown spends time in jail on remand,https://www.stuff.co.nz/national/crime/120841177/coronavirus-northland-man-who-breached-lockdown-spends-time-in-jail-on-remand.html,http://www.stuff.co.nz/
57,2020-04-05 23:52:06+00:00,Big shopping centres' owner cancels $55 million of dividends to shareholders and cuts executive pay,https://www.stuff.co.nz/business/120838200/big-shopping-centres-owner-cancels-55-million-of-dividends-to-shareholders-and-cuts-executive-pay.html,http://www.stuff.co.nz/
58,2020-04-05 23:52:06+00:00,Art and Matilda's cute lockdown video includes a 'dance party',https://www.stuff.co.nz/life-style/homed/latest/120839480/art-and-matildas-cute-lockdown-video-includes-a-dance-party.html,http://www.stuff.co.nz/
59,2020-04-05 23:52:06+00:00,"Coronavirus: Stranded Scot urges help, not hate for stranded backpackers",https://www.stuff.co.nz/travel/120788072/coronavirus-stranded-scot-urges-help-not-hate-for-stranded-backpackers.html,http://www.stuff.co.nz/
60,2020-04-05 23:52:03+00:00,How Intelligent Pricing Can Help Save Your Company In A Pandemic,https://www.forbes.com/sites/louiscolumbus/2020/04/05/how-intelligent-pricing-can-help-save-your-company-in-a-pandemic/,http://www.forbes.com/
61,2020-04-05 23:51:03+00:00,Coronavirus: 140 Lebanese evacuated out of Nigeria,https://www.lindaikejisblog.com/2020/4/coronavirus-140-lebanese-evacuated-out-of-nigeria-2.html,https://www.lindaikejisblog.com/
62,2020-04-05 23:51:03+00:00,"Coronavirus: UK prime minister, Boris Johnson, hospitalized",https://www.lindaikejisblog.com/2020/4/coronavirus-uk-prime-minister-boris-johnson-hospitalized-2.html,https://www.lindaikejisblog.com/
63,2020-04-05 23:50:52+00:00,German priest prints out photos of congregants to ‘attend’ virtual mass,http://www.nydailynews.com/coronavirus/ny-coronavirus-german-priest-print-photos-congregation-virtual-mass-20200405-624onbs5n5gprcixssab6x3lji-story.html,http://www.nydailynews.com/
64,2020-04-05 23:50:47+00:00,Saskatchewan NDP leader encouraging public to wear masks to slow the spread of COVID-19,https://globalnews.ca/news/6781749/saskatchewan-ndp-leader-cloth-masks-covid-19/,http://globalnews.ca/
65,2020-04-05 23:50:47+00:00,Heritage Foods continues supply of milk and milk products,https://www.business-standard.com/article/news-cm/heritage-foods-continues-supply-of-milk-and-milk-products-120032800318_1.html,http://www.business-standard.com/
66,2020-04-05 23:50:46+00:00,Drive-by birthdays: Calgarians celebrate kids’ special days with parades amid COVID-19 pandemic,https://globalnews.ca/news/6781495/calgary-birthday-parades-coronavirus/,http://globalnews.ca/
67,2020-04-05 23:50:45+00:00,Corona patient creates ruckus | Kanpur News - Times of India,https://timesofindia.indiatimes.com/city/kanpur/corona-patient-creates-ruckus/articleshow/74999895.cms,http://timesofindia.indiatimes.com/
68,2020-04-05 23:50:45+00:00,Asia Pacific set to trade mixed; oil prices drop as OPEC and its allies delay meeting,https://www.cnbc.com/2020/04/06/asia-markets-coronavirus-opec-meeting-oil-currencies-in-focus.html,http://www.cnbc.com/
69,2020-04-05 23:50:45+00:00,Bronx zoo tiger tests positive for coronavirus,https://www.business-standard.com/article/pti-stories/bronx-zoo-tiger-tests-positive-for-coronavirus-120040600095_1.html,http://www.business-standard.com/
