,Date,Article,Page_url,Source
13790,2020-04-04 15:32:59+00:00,Xavi donates €1m to Barcelona hospital to help fight coronavirus | Goal.com,http://www.goal.com/en/news/xavi-donates-1m-to-barcelona-hospital-to-help-fight/1pfnwuz3veba61uxjk7tu3hn0b,http://www.goal.com/
13791,2020-04-04 15:32:52+00:00,Trump says will ask Congress for more small business funds if money runs out,http://feeds.reuters.com/~r/reuters/businessNews/~3/OMGVC0OCMpQ/trump-says-will-ask-congress-for-more-small-business-funds-if-money-runs-out-idUSKBN21M0LN,http://reuters.com/
13792,2020-04-04 15:32:41+00:00,Houston Chamber Choir launches podcast to comfort listeners amid coronavirus pandemic,http://feeds.bizjournals.com/~r/bizj_houston/~3/zHouoC9xcpQ/houston-chamber-choir-launches-podcast-to-comfort.html,http://www.bizjournals.com/
13793,2020-04-04 15:32:28+00:00,Lifting lockdown: France looks ahead to options for easing coronavirus restrictions,https://www.france24.com/en/20200404-lifting-lockdown-france-looks-ahead-to-options-for-easing-coronavirus-restrictions,http://www.france24.com/
13794,2020-04-04 15:32:27+00:00,How New York Governor Andrew Cuomo became a national icon of PowerPoint prowess — and comedy,http://feedproxy.google.com/~r/businessinsider/~3/i186l8bvstY/governor-andrew-cuomo-masters-powerpoint-comedy-more-effective-2020-4,http://www.businessinsider.com/
13795,2020-04-04 15:32:22+00:00,"Deepika Padukone Turns Masterchef for Ranveer Singh, Selena Gomez Reveals She has Bipolar Disorder",https://www.news18.com/news/movies/deepika-padukone-turns-masterchef-for-ranveer-singh-selena-gomez-reveals-she-has-bipolar-disorder-2564691.html,http://www.news18.com/
13796,2020-04-04 15:31:46+00:00,Here's Why The New Mutants Is Unlikely to Go to Hulu or Disney+,https://comicbook.com/marvel/2020/04/04/the-new-mutants-cant-go-to-hulu-disney-plus-x-men-marvel/,http://comicbook.com/
13797,2020-04-04 15:31:28+00:00,The Tell: 5 reasons the spread of the coronavirus in the U.S. could be worse than in Italy,http://www.marketwatch.com/news/story.asp?guid=%7B31C97180-72A0-11EA-BD4E-8A42B82EE1E4%7D&siteid=rss&rss=1,http://www.marketwatch.com/
13798,2020-04-04 15:30:43+00:00,Chris Hemsworth Offers Guided Meditations for Kids Amid Pandemic,http://feeds.eonline.com/~r/eonline/topstories/~3/wJjrTn48-Ns/chris-hemsworth-offers-guided-meditations-for-kids-to-help-them-deal-with-stress-and-anxiety,http://www.eonline.com/
13799,2020-04-04 15:30:21+00:00,Automotive’s “Opportunity Costs Of Goods Sold” During COVID-19,https://www.forbes.com/sites/stevetengler/2020/04/04/automotives-opportunity-costs-of-goods-sold-during-covid-19/,http://www.forbes.com/
